epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,751.667,1.05812,0.99201,0.99971,0.03259,0.00333314,0.00333314,0.00333314
2,1455.08,0.31136,0.99638,0.99983,0.01164,0.00633648,0.00633648,0.00633648
3,2150.99,0.29254,0.99707,0.99983,0.01121,0.00900983,0.00900983,0.00900983
4,2842.06,0.29446,0.99851,0.99983,0.00632,0.008515,0.008515,0.008515
5,3521.65,0.2471,0.99862,0.99983,0.00546,0.00802,0.00802,0.00802
6,4148.37,0.21731,0.99925,0.99983,0.00437,0.007525,0.007525,0.007525
7,4809.11,0.19466,0.9996,0.99983,0.00334,0.00703,0.00703,0.00703
8,5420.57,0.17478,0.99954,0.99983,0.00323,0.006535,0.006535,0.006535
9,6056.18,0.15403,0.99954,0.99983,0.00291,0.00604,0.00604,0.00604
10,6740.52,0.14565,0.99954,0.99983,0.00273,0.005545,0.005545,0.005545
11,7393.45,0.13177,0.9996,0.99983,0.0024,0.00505,0.00505,0.00505
12,7998.31,0.11865,0.9996,0.99989,0.00224,0.004555,0.004555,0.004555
13,8584.05,0.10914,0.9996,0.99989,0.00216,0.00406,0.00406,0.00406
14,9168.94,0.09685,0.99966,0.99989,0.00202,0.003565,0.003565,0.003565
15,9758.02,0.08407,0.99966,0.99989,0.00191,0.00307,0.00307,0.00307
16,10339.1,0.07786,0.99971,0.99989,0.00178,0.002575,0.002575,0.002575
17,10917.7,0.07216,0.99971,0.99989,0.00166,0.00208,0.00208,0.00208
18,11499.1,0.06279,0.99971,0.99994,0.00154,0.001585,0.001585,0.001585
19,12078.1,0.05751,0.99971,0.99994,0.00145,0.00109,0.00109,0.00109
20,12660,0.04768,0.99971,0.99994,0.00137,0.000595,0.000595,0.000595
